"Crop","ScientificName","Symbol","NuContAvailable","PlantPartHarvested","CropCategory","YieldUnit","AvYieldUnitWeight(lb)","AvMoisture%","AvN%(dry)","AvP%(dry)","AvK%(dry)","YieldUnitWeight(lb)_set","YieldUnitWeight(lb)_Bau","YieldUnitWeight(lb)_Joh","YieldUnitWeight(lb)_Roberts","YieldUnitWeight(lb)_WEEP","YieldUnitWeight(lb)_Men","YieldUnitWeight(lb)_Guy","YieldUnitWeight(lb)_Mc","YieldUnitWeight(lb)_Mah","YieldUnitWeight(lb)_Sha","YieldUnitWeight(lb)_Sch","YieldUnitWeight(lb)_Atu","YieldUnitWeight(lb)_Zim","YieldUnitWeight(lb)_Scu","YieldUnitWeight(lb)_John","YieldUnitWeight(lb)_Arc","DryMatter%_M-FF","DryMatter%_NAS","DryMatter%_F&L","DryMatter%_F&N","DryMatter%_Alb","DryMatter%_Est1","DryMatter%_Est2","DryMatter%_Est3","DryMatter%_Est4","DryMatter%_Est5","DryMatter%_Est6","DryMatter%_M&R","DryMatter%_M&L","DryMatter%_Sun","DryMatter%_Gro","DryMatter%_AgH8-9","DryMatter%_AgH8-12","DryMatter%_B788","AvDryMatter%","N%(dry)_NAS","N%(dry)_F&L","N%(dry)_F&N","N%(dry)_Swa","N%(dry)_Chapko","N%(dry)_Hill","N%(dry)_Bru","N%(dry)_AgH8-9","N%(dry)_AgH8-12","N%(dry)_B788","N%(dry)_M&L","N%(dry)_M-FF","N%(dry)_M&R","N%(dry)_Foster","N%(dry)_Rob1","N%(dry)_Rob2","N%(dry)_Coa","N%(dry)_And","N%(dry)_Gol1","N%(dry)_Gol2","N%(dry)_Wol","N%(dry)_Pete","N%(dry)_Col","N%(dry)_Alb","N%(dry)_Arc","N%(dry)_Bis","N%(dry)_Gar","N%(dry)_Heg","N%(dry)_Flo","N%(dry)_Feil","N%(dry)_Bre","N%(dry)_Burns","N%(dry)_Coc","P%(dry)_M-FF","P%(dry)_NAS","P%(dry)_F&L","P%(dry)_F&N","P%(dry)_AgH8-9","P%(dry)_AgH8-12","P%(dry)_B788","P%(dry)_M&L","P%(dry)_L&V","P%(dry)_Foster","P%(dry)_Rob1","P%(dry)_Rob2","P%(dry)_Coa","P%(dry)_And","P%(dry)_Gol1","P%(dry)_Gol2","P%(dry)_Sims","P%(dry)_Wol","P%(dry)_Pete","P%(dry)_Col","P%(dry)_Alb","P%(dry)_Arc","P%(dry)_Swa","P%(dry)_Rei","K%(dry)_M-FF","K%(dry)_NAS","K%(dry)_F&L","K%(dry)_F&N","K%(dry)_AgH8-9","K%(dry)_AgH8-12","K%(dry)_B788","K%(dry)_Foster","K%(dry)_Rob1","K%(dry)_Rob2","K%(dry)_Coa","K%(dry)_And","K%(dry)_Gol1","K%(dry)_Gol2","K%(dry)_Sims","K%(dry)_Wol","K%(dry)_Pete","K%(dry)_Col","K%(dry)_Alb","K%(dry)_Arc","K%(dry)_Swa","K%(dry)_Rei","Moisture%_M&R","Moisture%_M&L","Moisture%_Sun","Moisture%_Gro","gWater/100g_AgH8-9","gWater/100g_AgH8-12","gWater/100g_B788","Protein%(dry)_NAS","Protein%(dry)_F&L","Protein%(dry)_F&N","Protein%(dry)_Swa","Protein%(dry)_Chapko","Protein%(dry)_Hill","Protein%(dry)_Bru","Protein%(dry)_Bis","Protein%(dry)_Gar","Protein%(dry)_Heg","Protein%(dry)_Flo","Protein%(dry)_Feil","Protein%(dry)_Bre","Protein%(dry)_Burns","gProtein/100g(wet)_AgH8-9","gProtein/100g(wet)_AgH8-12","gProtein/100g(wet)_B788","Protein%(wet)_M&L","N%(wet)_M-FF","P%(wet)_M-FF","gP/100g(wet)_AgH8-9","gP/100g(wet)_AgH8-12","gP/100g(wet)_B788","P%(wet)_M&L","K%(wet)_M-FF","gK/100g(wet)_AgH8-9","gK/100g(wet)_AgH8-12","gK/100g(wet)_B788"
"Acorn","Quercus sp.","QUERC","N,P,K","Fruit","Tree and fruit","lb of fruit","1","27.90","1.3647711512","0.10957004161","0.74757281553","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72.10",,"72.10",,,,,,,,,"1.3647711512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.10957004161",,,,,,,,,,,,,,,,,,,,,,,,"0.74757281553",,,,,,,,,,,,,,,,,,,,,,"27.9",,,,,,,,,,,,,,,,,"6.15",,,,,,"0.079",,,,,"0.539",
"Alfalfa + Orchardgrass, for hay","Medicago sativa, Dactylis glomerata","MESA, DAGL","N,P","Aboveground biomass","Forage","ton","2000","9.70","2.4797142857","0.26785714286","#DIV/0!","2,000",,,,,,,,,,,,,,,,"89.6","91.2","91.4","89",,,,,,,,,,,,,,,"90.30","2.592","2.544","2.64",,,,,,,,,"2.1428571429",,,,,,,,,,,,,,,,,,,,,,"0.26785714286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.2","15.9","16.5",,,,,,,,,,,,,,,,"1.92","0.24",,,,,,,,
"Alfalfa + Orchardgrass, for hay (cut 1)","Medicago sativa, Dactylis glomerata","MESA, DAGL","N,P,K","Aboveground biomass","Forage","ton","2000","7.95","2.144","0.2","1.49","2,000",,,,,,,,,,,,,,,,,"92.9","91.2",,,,,,,,,,,,,,,,"92.05","1.696","2.592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.2",,,,,,,,,,,,,,,,,,,,,,,,"1.49",,,,,,,,,,,,,,,,,,,,,,,,,,,"10.6","16.2",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa + Smooth Brome, for green chop","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P,K","Aboveground biomass","Forage","ton","2000","77.63","3.3220740741","0.31055555556","2.8","2,000",,,,,,,,,,,,,,,,"22.5","21.6",,"23",,,,,,,,,,,,,,,"22.37","3.136",,"3.408",,,,,,,,,"3.4222222222",,,,,,,,,,,,,,,,,,,,,,"0.31111111111",,,"0.31",,,,,,,,,,,,,,,,,,,,,"2.8",,,"2.8",,,,,,,,,,,,,,,,,,,,,,,,,,"19.6",,"21.3",,,,,,,,,,,,,,,,"0.77","0.07",,,,,"0.63",,,
"Alfalfa + Smooth Brome, for hay","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P,K","Aboveground biomass","Forage","ton","2000","11.58","2.4177085202","0.27105381166","1.8977466368","2,000",,,,,,,,,,,,,,,,"89.2","82.5","91","91",,,,,,,,,,,,,,,"88.42","2.592","2.48","2.48",,,,,,,,,"2.1188340807",,,,,,,,,,,,,,,,,,,,,,"0.22421524664","0.3","0.28","0.28",,,,,,,,,,,,,,,,,,,,,"1.8609865471","1.85","1.94","1.94",,,,,,,,,,,,,,,,,,,,,,,,,,"16.2","15.5","15.5",,,,,,,,,,,,,,,,"1.89","0.2",,,,,"1.66",,,
"Alfalfa + Smooth Brome, for hay (cut 1)","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P,K","Aboveground biomass","Forage","ton","2000","10.10","2.192","0.295","1.4","2,000",,,,,,,,,,,,,,,,,"89.9","89.9",,,,,,,,,,,,,,,,"89.90","2.192","2.192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.28","0.31",,,,,,,,,,,,,,,,,,,,,,,"1.4","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,"13.7","13.7",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa + Smooth Brome, for hay (cut 2)","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P","Aboveground biomass","Forage","ton","2000","10.20","2.192","0.21","#DIV/0!","2,000",,,,,,,,,,,,,,,,,"89.8","89.8",,,,,,,,,,,,,,,,"89.80","2.192","2.192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.21","0.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.7","13.7",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa + Timothy, for green chop (50% alfalfa)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P,K","Aboveground biomass","Forage","ton","2000","78.08","3.3647488584","0.36882420091","2.2393607306","2,000",,,,,,,,,,,,,,,,"21.9","21.9","21.9","22",,,,,,,,,,,,,,,"21.93","3.36","3.36","3.36",,,,,,,,,"3.3789954338",,,,,,,,,,,,,,,,,,,,,,"0.36529680365","0.37","0.37","0.37",,,,,,,,,,,,,,,,,,,,,"2.2374429224","2.24","2.24","2.24",,,,,,,,,,,,,,,,,,,,,,,,,,"21","21","21",,,,,,,,,,,,,,,,"0.74","0.08",,,,,"0.49",,,
"Alfalfa + Timothy, for hay","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P,K","Aboveground biomass","Forage","ton","2000","10.37","2.1728869048","0.21107142857","2.16","2,000",,,,,,,,,,,,,,,,"89.6","89","90.3",,,,,,,,,,,,,,,,"89.63","2.192","2.128",,,,,,,,,,"2.1986607143",,,,,,,,,,,,,,,,,,,,,,"0.22321428571","0.2","0.21",,,,,,,,,,,,,,,,,,,,,,,,"2.16",,,,,,,,,,,,,,,,,,,,,,,,,,,"13.7","13.3",,,,,,,,,,,,,,,,,"1.97","0.2",,,,,,,,
"Alfalfa + Timothy, for hay (cut 1)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P","Aboveground biomass","Forage","ton","2000","9.80","1.792","0.14","#DIV/0!","2,000",,,,,,,,,,,,,,,,,"90.2","90.2",,,,,,,,,,,,,,,,"90.20","1.792","1.792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.14","0.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.2","11.2",,,,,,,,,,,,,,,,,,,,,,,,,,
